Period_Date,MID,DBA,Pricing,Rep,Rep_ID,NSD,NSD_ID,Approved Date,Sales Volume,Transaction Count,Gross Profit,Net Residual Before %,Net Residual
2025-11-01,8739755420908037.0,Quality Consulting Corp,DP,Emily Smith,9011.0,Chris,9011.0,6/17/2024,495.78,2.0,117.51,97.04,48.52
2025-11-01,8739755986942380.0,Superior Consulting,DP,Emily Smith,9011.0,Chris,9011.0,4/22/2025,23468.91,501.0,527.28,488.49,244.24
2025-11-01,8739778371447208.0,Prime Consulting,DP,Emily Smith,9011.0,Chris,9011.0,7/22/2025,224.64,2.0,13.37,-6.82,-3.41
2025-11-01,8739716660818107.0,Professional Consulting Inc,DP,Emily Smith,9011.0,Chris,9011.0,6/4/2025,8238.67,14.0,294.13,254.84,127.42
2025-11-01,815222742885.0,Advanced Consulting,DP,Emily Smith,9011.0,Chris,9011.0,9/24/2025,5829.04,203.0,83.61,62.9,31.45
2025-11-01,815222828882.0,Modern Consulting,DP,Emily Smith,9011.0,Chris,9011.0,9/25/2025,3645.87,171.0,72.37,53.88,26.94
2025-11-01,554402009827320.0,Classic Consulting LLC,DP,Emily Smith,9011.0,Chris,9011.0,9/13/2024,0.0,0.0,0.0,-15.0,-7.5
2025-11-01,8739708091933117.0,Premier Services,IC,Emily Smith,9011.0,Chris,9011.0,2/25/2025,4229.13,11.0,158.37,129.82,64.91
2025-11-01,8739703437657177.0,Elite Services Co,DP,Emily Smith,9011.0,Chris,9011.0,7/7/2025,0.0,0.0,41.55,-8.44,-4.22
2025-11-01,8739740353373687.0,Quality Services,DP,Emily Smith,9011.0,Chris,9011.0,6/28/2024,53619.54,255.0,900.79,829.49,414.74
2025-11-01,815218921881.0,Superior Services,DP,Emily Smith,9011.0,Chris,9011.0,7/2/2025,0.0,0.0,81.45,41.45,20.72
2025-11-01,815220646880.0,Prime Services Corp,DP,Emily Smith,9011.0,Chris,9011.0,8/12/2025,64768.31,1374.0,614.4,532.75,266.38
2025-11-01,554402009832221.0,Professional Services,DP,Emily Smith,9011.0,Chris,9011.0,6/18/2024,0.0,0.0,125.5,110.5,55.25
2025-11-01,815208929886.0,Advanced Services,DP,Emily Smith,9011.0,Chris,9011.0,1/3/2025,8773.81,177.0,262.2,238.02,119.01
2025-11-01,8739738931273401.0,Modern Services Inc,DP,Emily Smith,9011.0,Chris,9011.0,8/28/2025,11412.51,1131.0,93.53,-18.31,-9.15
2025-11-01,815213802888.0,Express Services,DP,Emily Smith,9011.0,Chris,9011.0,3/21/2025,8867.17,336.0,203.81,169.57,84.78
2025-11-01,815213087886.0,Premier Logistics LLC,DP,Emily Smith,9011.0,Chris,9011.0,3/14/2025,50386.22,1763.0,465.93,388.09,194.04
2025-11-01,815213088884.0,Elite Logistics,DP,Emily Smith,9011.0,Chris,9011.0,3/14/2025,33134.79,984.0,429.11,374.4,187.2
2025-11-01,815217805887.0,Quality Logistics,IC,Emily Smith,9011.0,Chris,9011.0,6/11/2025,24266.33,715.0,341.54,311.82,155.91
2025-11-01,815214878887.0,Superior Logistics Co,DP,Emily Smith,9011.0,Chris,9011.0,4/21/2025,5622.07,174.0,143.48,117.62,58.81
2025-11-01,8739776519789201.0,Prime Logistics,DP,Emily Smith,9011.0,Chris,9011.0,6/10/2024,38234.13,1939.0,461.07,397.64,198.82
2025-11-01,815207678880.0,Professional Logistics,DP,Emily Smith,9011.0,Chris,9011.0,12/3/2024,17394.7,408.0,558.65,525.8,262.9
2025-11-01,554402009859422.0,Advanced Logistics Corp,DP,Emily Smith,9011.0,Chris,9011.0,1/27/2025,32571.8,704.0,519.13,471.5,235.75
2025-11-01,8739738311153276.0,Modern Logistics,DP,Emily Smith,9011.0,Chris,9011.0,9/8/2025,10275.2,8.0,415.72,389.93,194.96
2025-11-01,554402009857459.0,Classic Logistics,DP,Emily Smith,9011.0,Chris,9011.0,7/16/2025,0.0,0.0,-2.5,-17.5,-8.75
2025-11-01,8739722979791126.0,Express Logistics Inc,DP,Emily Smith,9011.0,Chris,9011.0,4/2/2025,11035.36,519.0,330.68,304.31,152.16
2025-11-01,8739736176457529.0,Quality Tech Solutions LLC,DP,Emily Smith,9011.0,Chris,9011.0,10/7/2025,1392.96,67.0,36.89,20.44,10.22
2025-11-01,815212160882.0,Premier Tech Solutions,DP,Emily Smith,9011.0,Chris,9011.0,2/28/2025,0.0,0.0,-10.0,-25.0,-12.5
2025-11-01,815218496884.0,Elite Tech Solutions,DP,Emily Smith,9011.0,Chris,9011.0,6/25/2025,12543.66,510.0,223.55,195.54,97.77
2025-11-01,8739740608372635.0,Elite Auto Shop Inc,DP,Emily Smith,9011.0,Chris,9011.0,11/17/2025,4651.08,235.0,39.95,20.11,10.06
2025-11-01,8739702316172691.0,Superior Tech Solutions,DP,James Smith,9013.0,Chris,9011.0,8/14/2024,2746.39,8.0,42.65,42.65,42.65
2025-11-01,8739794578309613.0,Prime Tech Solutions,DP,Maria Smith,9029.0,Chris,9011.0,11/15/2024,580.32,17.0,35.86,30.91,30.91
2025-11-01,8739732423281213.0,Advanced Tech Solutions,DP,Maria Smith,9029.0,Chris,9011.0,9/18/2024,100.88,6.0,29.92,19.63,19.63
2025-11-01,8739789195199681.0,Modern Tech Solutions,DP,John Johnson,9029.0,Chris,9011.0,3/31/2025,0.0,0.0,0.0,-15.0,-6.75
2025-11-01,8739753199516991.0,Classic Tech Solutions Corp,DP,John Johnson,9029.0,Chris,9011.0,3/19/2025,0.0,0.0,36.35,21.35,9.61
2025-11-01,8739717957954028.0,Express Tech Solutions,DP,John Johnson,9029.0,Chris,9011.0,2/3/2025,0.0,0.0,31.55,16.55,7.45
2025-11-01,8739768515170011.0,Premier Construction,DP,John Johnson,9029.0,Chris,9011.0,2/6/2025,0.0,0.0,29.06,4.06,1.83
2025-11-01,8739737769083158.0,Elite Construction Inc,DP,John Johnson,9029.0,Chris,9011.0,4/10/2025,0.0,0.0,36.5,21.5,9.68
2025-11-01,8739770020392606.0,Quality Construction,DP,John Johnson,9029.0,Chris,9011.0,3/5/2025,0.0,0.0,-8.45,-23.45,-10.55
2025-11-01,8739781541045100.0,Prime Construction LLC,DP,John Johnson,9029.0,Chris,9011.0,4/14/2025,0.0,0.0,0.0,-15.0,-6.75
2025-11-01,8739720214697937.0,Professional Construction,DP,John Johnson,9029.0,Chris,9011.0,1/29/2025,0.0,0.0,31.55,16.55,7.45
2025-11-01,8739776516983399.0,Advanced Construction,DP,John Johnson,9029.0,Chris,9011.0,11/4/2024,0.0,0.0,36.5,21.5,9.68
2025-11-01,8739794747792053.0,Quality Auto Shop,DP,John Johnson,9029.0,Chris,9011.0,11/11/2025,0.03,3.0,38.89,23.89,10.75
2025-11-01,8739727262514894.0,Superior Auto Shop,DP,John Johnson,9029.0,Chris,9011.0,11/12/2025,0.04,4.0,70.74,45.45,20.45
2025-11-01,8739777400070049.0,Prime Auto Shop LLC,DP,John Johnson,9029.0,Chris,9011.0,11/12/2025,0.02,2.0,36.02,21.02,9.46
2025-11-01,8739762087666760.0,Classic Construction,DP,Sarah Johnson,9029.0,Chris,9011.0,7/21/2025,319.3,4.0,48.42,18.38,9.19
2025-11-01,8739705221572169.0,Premier Manufacturing Corp,DP,Sarah Johnson,9029.0,Chris,9011.0,6/5/2025,0.0,0.0,41.55,-8.45,-4.22
2025-11-01,8739784365518596.0,Elite Manufacturing,DP,Michael Johnson,9049.0,Chris,9011.0,10/3/2024,1015.49,2.0,23.94,8.64,3.89
2025-11-01,8739724864753133.0,Quality Manufacturing,DP,Jennifer Johnson,9058.0,Chris,9011.0,2/10/2025,0.0,0.0,46.55,21.56,9.7
2025-11-01,554402009852898.0,Superior Manufacturing Inc,IC,David Smith,9019.0,Geoff,,8/1/2024,0.0,0.0,57.5,57.5,57.5
2025-11-01,8739721310230491.0,Prime Manufacturing,DP,Maria Garcia,9020.0,Germaine,,9/18/2025,0.0,0.0,25.55,15.56,15.56
2025-11-01,8739744797085646.0,Professional Manufacturing,IC,Lisa Johnson,9025.0,Jack,,7/5/2024,9173.2,89.0,41.51,41.51,41.51
2025-11-01,8739787852193397.0,Classic Manufacturing,IC,Robert Johnson,9017.0,Jon,,11/1/2024,25262.38,194.0,282.39,267.4,267.4
2025-11-01,8739739861594644.0,Premier Auto Shop,DP,Emily Johnson,9031.0,Jon,,10/1/2024,2615.65,66.0,25.45,2.81,1.4
2025-11-01,8739747271511028.0,Elite Auto Shop,DP,Emily Johnson,9031.0,Jon,,3/5/2025,0.0,0.0,162.5,122.5,61.25
2025-11-01,8739798244881942.0,Quality Auto Shop Corp,DP,Emily Johnson,9031.0,Jon,,10/10/2024,0.0,0.0,48.5,8.5,4.25
2025-11-01,8739739132467791.0,Superior Auto Shop,DP,Emily Johnson,9031.0,Jon,,10/10/2024,0.0,0.0,48.5,8.5,4.25
2025-11-01,8739799823670387.0,Prime Auto Shop,DP,Emily Johnson,9031.0,Jon,,10/10/2024,0.0,0.0,48.5,8.5,4.25
2025-11-01,8739717932970417.0,Professional Auto Shop Inc,DP,Emily Johnson,9031.0,Jon,,10/10/2024,0.0,0.0,48.5,8.5,4.25
2025-11-01,8739797582796537.0,Advanced Auto Shop,DP,Emily Johnson,9031.0,Jon,,10/10/2024,0.0,0.0,48.5,8.5,4.25
2025-11-01,8739758313842088.0,Modern Auto Shop,DP,Emily Johnson,9031.0,Jon,,10/10/2024,162689.97,1136.0,452.77,270.79,135.4
2025-11-01,8739709967304448.0,Classic Auto Shop LLC,DP,Emily Johnson,9031.0,Jon,,10/10/2024,0.0,0.0,48.5,8.5,4.25
2025-11-01,8739797639162899.0,Express Auto Shop,DP,Emily Johnson,9031.0,Jon,,9/6/2024,0.0,0.0,58.5,18.5,9.25
2025-11-01,8739748195792049.0,Premier Restaurant,DP,James Johnson,9041.0,Jon,,3/27/2025,40232.34,55.0,436.95,406.61,182.97
2025-11-01,8739771819613058.0,Elite Restaurant Co,IC,James Johnson,9041.0,Jon,,3/4/2025,0.0,0.0,41.0,21.05,9.47
2025-11-01,8739780867958392.0,Quality Restaurant,IC,James Johnson,9041.0,Jon,,5/8/2025,57269.44,22.0,259.31,211.02,94.96
2025-11-01,8739714053680710.0,Superior Restaurant,DP,James Johnson,9041.0,Jon,,3/7/2025,10186.5,28.0,98.74,75.73,34.08
2025-11-01,8739723353739980.0,Prime Restaurant Corp,DP,James Johnson,9041.0,Jon,,4/14/2025,1236.0,1.0,19.37,-10.94,-4.92
2025-11-01,8739751598517885.0,Professional Restaurant,DP,James Johnson,9041.0,Jon,,2/26/2025,0.0,0.0,18.65,-1.3,-0.59
2025-11-01,815219416881.0,Advanced Restaurant,DP,Maria Johnson,9045.0,Jon,,7/11/2025,0.0,0.0,104.45,54.45,24.5
2025-11-01,554402009815010.0,Modern Restaurant Inc,DP,John Williams,9062.0,Jon,,9/18/2024,0.0,0.0,0.0,0.0,0.0
2025-11-01,8739788010190511.0,Classic Restaurant,DP,Sarah Williams,9032.0,Kevin,9037.0,12/26/2024,0.0,0.0,46.55,26.6,11.97
2025-11-01,8739738060654523.0,Express Restaurant,IC,Sarah Williams,9032.0,Kevin,9037.0,1/31/2025,38206.13,27.0,694.41,651.61,293.22
2025-11-01,8739783724930707.0,Premier Retail Store LLC,IC,John Miller,9037.0,Kevin,9037.0,2/25/2025,0.0,0.0,137.5,97.5,48.75
2025-11-01,8739746843824168.0,Elite Retail Store,DP,John Miller,9037.0,Kevin,9037.0,12/19/2024,34183.35,947.0,867.02,807.61,403.8
2025-11-01,8739799274594250.0,Quality Retail Store,DP,John Miller,9037.0,Kevin,9037.0,1/3/2025,14768.0,5.0,480.5,447.23,223.62
2025-11-01,8739736964896547.0,Superior Retail Store Co,DP,John Miller,9037.0,Kevin,9037.0,8/1/2025,787.24,38.0,0.4,-22.35,-11.18
2025-11-01,8739751810979370.0,Prime Retail Store,DP,John Miller,9037.0,Kevin,9037.0,2/17/2025,8898.35,292.0,308.11,279.02,139.51
2025-11-01,8739745272512499.0,Professional Retail Store,IC,John Miller,9037.0,Kevin,9037.0,3/6/2025,55100.44,1071.0,577.36,536.48,268.24
2025-11-01,8739769130886131.0,Advanced Retail Store Corp,IC,John Miller,9037.0,Kevin,9037.0,5/15/2025,0.0,0.0,38.5,-1.5,-0.75
2025-11-01,8739747542905817.0,Modern Retail Store,DP,John Miller,9037.0,Kevin,9037.0,10/31/2024,0.0,0.0,36.55,-3.45,-1.72
2025-11-01,8739786642240361.0,Classic Retail Store,DP,John Miller,9037.0,Kevin,9037.0,9/25/2024,0.0,0.0,43.5,3.5,1.75
2025-11-01,8739779032822748.0,Express Retail Store Inc,DP,Sarah Miller,9040.0,Margaret,,2/24/2025,0.0,0.0,-1.76,-16.76,-8.38
2025-11-01,8739722952089582.0,Premier Medical Center,IC,Sarah Miller,9040.0,Margaret,,2/21/2025,21776.27,21.0,224.12,191.61,95.8
2025-11-01,8739766320695979.0,Elite Medical Center,IC,Sarah Miller,9040.0,Margaret,,4/4/2025,10566.63,30.0,44.61,22.95,11.48
2025-11-01,8739763987117560.0,Quality Medical Center LLC,IC,Sarah Miller,9040.0,Margaret,,4/4/2025,80555.92,154.0,199.21,174.15,87.08
2025-11-01,8739777029522727.0,Superior Medical Center,DP,David Williams,9051.0,Matt D,,5/16/2024,0.0,0.0,-8.45,-13.4,-13.4
2025-11-01,8739753337035891.0,Prime Medical Center,IC,Lisa Williams,9054.0,NCF,,9/30/2025,1014.84,1.0,38.46,18.23,18.23
2025-11-01,554402009843202.0,Professional Medical Center Co,IC,Robert Williams,9052.0,Sam,9052.0,9/3/2024,55428.33,1099.0,251.21,251.21,25.12
2025-11-01,554402009841370.0,Advanced Medical Center,IC,Robert Williams,9052.0,Sam,9052.0,11/6/2024,16007.5,109.0,73.3,73.3,7.33
2025-11-01,8739743076072648.0,Modern Medical Center,DP,Robert Williams,9052.0,Sam,9052.0,9/23/2025,0.0,0.0,16.55,16.55,1.66
2025-11-01,554402009860875.0,Classic Medical Center Corp,IC,Emily Williams,9009.0,SFG,10060.0,11/27/2024,4502.47,56.0,150.73,145.78,145.78
2025-11-01,554402009822214.0,Express Medical Center,IC,Emily Williams,9009.0,SFG,10060.0,6/21/2024,7447.47,95.0,1495.8,1481.36,1481.36
2025-11-01,554402009861022.0,Premier Consulting,IC,Emily Williams,9009.0,SFG,10060.0,11/14/2024,8105.14,21.0,48.44,48.44,48.44
2025-11-01,554402009879297.0,Elite Consulting Inc,IC,Emily Williams,9009.0,SFG,10060.0,11/29/2024,18514.01,72.0,195.34,190.39,190.39
2025-11-01,554402009855677.0,Quality Consulting,IC,Emily Williams,9009.0,SFG,10060.0,11/25/2024,9497.51,76.0,51.69,51.69,51.69
2025-11-01,554402009863952.0,Superior Consulting,IC,Emily Williams,9009.0,SFG,10060.0,11/4/2024,64333.71,214.0,157.28,157.28,157.28
2025-11-01,8739708619042862.0,Prime Consulting LLC,IC,Emily Williams,9009.0,SFG,10060.0,1/10/2025,18138.95,143.0,47.38,42.43,42.43
2025-11-01,554402009888140.0,Professional Consulting,IC,Emily Williams,9009.0,SFG,10060.0,10/28/2024,13761.96,111.0,95.33,90.38,90.38
2025-11-01,554402009867177.0,Advanced Consulting,IC,Emily Williams,9009.0,SFG,10060.0,7/23/2024,3270.39,8.0,145.5,145.5,145.5
2025-11-01,554402009992199.0,Modern Consulting Co,IC,Emily Williams,9009.0,SFG,10060.0,5/8/2024,9868.2,23.0,148.85,148.85,148.85
2025-11-01,554402009893264.0,Classic Consulting,IC,Emily Williams,9009.0,SFG,10060.0,7/1/2024,24804.96,819.0,319.27,319.27,319.27
2025-11-01,554402009818683.0,Express Consulting,IC,Emily Williams,9009.0,SFG,10060.0,11/22/2024,0.0,0.0,155.55,155.55,155.55
2025-11-01,554402009801523.0,Premier Services Corp,IC,Emily Williams,9009.0,SFG,10060.0,5/22/2024,5434.69,26.0,153.39,153.39,153.39
2025-11-01,554402009815887.0,Elite Services,IC,Emily Williams,9009.0,SFG,10060.0,6/6/2024,0.0,0.0,155.55,155.55,155.55
2025-11-01,554402009835000.0,Quality Services,IC,Emily Williams,9009.0,SFG,10060.0,11/1/2024,11411.63,352.0,111.71,111.71,111.71
2025-11-01,554402009853433.0,Superior Services Inc,IC,Emily Williams,9009.0,SFG,10060.0,11/1/2024,9406.14,243.0,93.55,93.55,93.55
2025-11-01,554402009813486.0,Prime Services,IC,Emily Williams,9009.0,SFG,10060.0,11/7/2024,17580.83,154.0,51.64,51.64,51.64
2025-11-01,554402009882929.0,Professional Services,IC,David Johnson,,SFG,10060.0,1/21/2025,19414.0,36.0,157.11,157.11,157.11
2025-11-01,554402009812413.0,Advanced Services LLC,IC,David Johnson,,SFG,10060.0,8/5/2024,0.0,0.0,0.0,0.0,0.0
2025-11-01,8739750607210273.0,Modern Services,DP,David Johnson,,SFG,10060.0,5/27/2025,0.0,0.0,90.55,80.56,80.56
2025-11-01,815209769885.0,Classic Services,IC,David Johnson,,SFG,10060.0,1/22/2025,49132.49,310.0,183.69,183.69,183.69
2025-11-01,815209888883.0,Express Services Co,IC,David Johnson,,SFG,10060.0,1/23/2025,91567.79,688.0,208.6,208.6,208.6
2025-11-01,815209723882.0,Premier Logistics,IC,David Johnson,,SFG,10060.0,1/21/2025,53858.75,191.0,183.76,183.76,183.76
2025-11-01,815219719888.0,Quality Logistics Corp,IC,David Johnson,,SFG,10060.0,7/18/2025,13251.67,61.0,141.38,141.38,141.38
2025-11-01,554402009810219.0,Superior Logistics,IC,David Johnson,,SFG,10060.0,7/12/2024,3255.0,9.0,155.89,155.89,155.89
2025-11-01,815220679881.0,Prime Logistics,IC,David Johnson,,SFG,10060.0,8/8/2025,8029.78,46.0,163.21,163.21,163.21
2025-11-01,8739747499582946.0,Professional Logistics Inc,IC,David Johnson,,SFG,10060.0,8/28/2025,819.0,2.0,145.65,145.65,145.65
2025-11-01,815221431886.0,Advanced Logistics,IC,David Johnson,,SFG,10060.0,8/21/2025,2198.84,26.0,183.66,183.66,183.66
2025-11-01,8739797637880775.0,Modern Logistics,IC,David Johnson,,SFG,10060.0,4/23/2024,48959.93,61.0,218.74,218.74,218.74
2025-11-01,815213342885.0,Classic Logistics LLC,IC,David Johnson,,SFG,10060.0,3/20/2025,0.0,0.0,145.5,145.5,145.5
2025-11-01,554402009838954.0,Express Logistics,IC,David Johnson,,SFG,10060.0,1/16/2025,74603.86,244.0,510.6,510.6,510.6
2025-11-01,554402009876608.0,Premier Tech Solutions,IC,David Johnson,,SFG,10060.0,1/16/2025,42926.62,100.0,346.56,346.56,346.56
2025-11-01,554402009959545.0,Elite Tech Solutions Co,IC,David Johnson,,SFG,10060.0,5/13/2024,31312.82,340.0,247.87,247.87,247.87
2025-11-01,8739768355791560.0,Quality Tech Solutions,IC,David Johnson,,SFG,10060.0,1/27/2025,11974.12,202.0,417.02,417.02,417.02
2025-11-01,815215159881.0,Superior Tech Solutions,IC,David Johnson,,SFG,10060.0,4/23/2025,4796.71,28.0,180.99,180.99,180.99
2025-11-01,815219897882.0,Prime Tech Solutions Corp,IC,David Johnson,,SFG,10060.0,7/23/2025,23726.04,751.0,238.66,238.66,238.66
2025-11-01,815218930882.0,Professional Tech Solutions,IC,David Johnson,,SFG,10060.0,7/2/2025,121932.5,69.0,296.64,296.64,296.64
2025-11-01,8739700876390283.0,Advanced Tech Solutions,IC,David Johnson,,SFG,10060.0,8/28/2025,904.38,1.0,145.43,145.43,145.43
2025-11-01,554402009812066.0,Modern Tech Solutions Inc,IC,James Williams,9021.0,SFG,10075.0,8/20/2024,309.0,4.0,146.07,146.07,146.07
2025-11-01,815221390884.0,Classic Tech Solutions,DP,Maria Williams,9024.0,SFG,10060.0,8/21/2025,55109.64,1539.0,1044.42,1044.42,1044.42
2025-11-01,554402009808106.0,Express Tech Solutions,IC,Michael Miller,9043.0,SFG,10060.0,11/26/2024,0.0,0.0,46.55,46.55,46.55
2025-11-01,8739721940357879.0,Premier Construction LLC,IC,Michael Miller,9043.0,SFG,10060.0,3/18/2025,0.0,0.0,145.55,145.55,145.55
2025-11-01,8739746222584523.0,Elite Construction,IC,Michael Miller,9043.0,SFG,10060.0,3/12/2025,6914.0,12.0,148.08,143.13,143.13
2025-11-01,554402009890278.0,Quality Construction,IC,Michael Miller,9043.0,SFG,10060.0,1/3/2025,75988.06,415.0,388.79,388.79,388.79
2025-11-01,815213078885.0,Superior Construction Co,IC,Michael Miller,9043.0,SFG,10060.0,3/13/2025,25309.5,204.0,347.62,347.62,347.62
2025-11-01,554402009848763.0,Prime Construction,IC,Michael Miller,9043.0,SFG,10060.0,12/30/2024,254.95,4.0,146.25,146.25,146.25
2025-11-01,554402009887597.0,Professional Construction,IC,Michael Miller,9043.0,SFG,10060.0,12/10/2024,0.0,0.0,0.0,0.0,0.0
2025-11-01,8739709937780783.0,Advanced Construction Corp,DP,Michael Miller,9043.0,SFG,10060.0,4/30/2025,7278.38,7.0,182.4,182.4,182.4
